email,booth,website,bio,fax,phone,name,address
huyang@ctic.org.cn,Booth no.:  4.1A43,,,,  86 21 6236 0937 ext 8131,CTIC WGSN China Ltd,u4e2du570bu4e0au6d77u5dffu9577u5be7u5340u9075u7fa9u8def100u865fu8679u6a4bu5357u8c50u57ceBu6a6620u5c642006-10u5ba4 u90f5u7de8200050
jordandu@culp.cn,Booth no.:  4.1H21,http://www.culpinc.com,Upholstery Fabrics,(86) 21 6921 0523,(86) 21 6921 0358,Culp Fabrics (Shanghai) Co Ltd,"A-27, 5399 Wai Qing Song Rd, Qing Pu, Shanghai 201707, China"
exhibitions@ddecor.com,Booth no.:  4.1F41,http://www.ddecor.com,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Other home textile products, Machinery for Home Textile (Digital printing, sewing machine)",(91) 22 6678 2001,(91) 22 6678 2000,D Du00e9cor,"S14 Solitaire Corprate Park, 167 Guru Hargovindji Marg, Chakala, Andheri East, Mumbai/ Maharashtra 400093, India"
1142781078@qq.com,Booth no.:  3N01,,Accessories,(86) 0411 85606050,(86) 0411 85606040,"Dalian Coreaart-Textile Co.,Ltd","NO.116 section one nanwu Road wafangdian city,"
susan702@163.com,Booth no.:  4.1C69,,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Other home textile products, Textiles for hospitality industry",(86) 573 8723 8080,(86) 573 8723 1885,Barcelona Innova Co Ltd,"Blug 15, Zhejiang Haining Wap knitting Industrial Park, No.8 Jingdu Rd, Zhejiang, 314419, China"
jawadataee2000@gmail.com,Booth no.:  3L11,,"Textile for Household Products, Carpet & Rugs",  93 783 529 800,  93 776 210 701,Ali Zabi Sedaqat Ltd,"Dasht-E-Barchi, 13 District, Kabul, Afghanistan"
naqi.bari@baritextilemills.com,Booth no.:  4.1C05,http://www.baritextilemills.com,,,,Bari Textile Mills (Pvt) Ltd,"29-A, Block 2,  P E C H S, Karachi 75400, Pakistan"
jonson@bartexchina.com,Booth no.:  6.2P51,,"Textile for Household Products, Table & kitchen linens",(86) 0575 81161098,(86) 0575 81161099,Bartex Textile,"Zhenyuan Road,Paojiang Industrial Park, Shaoxing,"
blw@furnitureleather.com.cn,Booth no.:  4.1B49,http://www.furnitureleather.com.cn,"Upholstery Fabrics, Upholstery leather & Soft decoration",(86) 769 8583 3173,(86) 769 8591 3345,BLW Manufacture International Co Ltd,"No 23, Tang Xin Section, Nan Wu Community Expo Avenue, Houjie Town, Dongguan City, Guangdong 523948, China"
479600060@qq.com,Booth no.:  3Q02,,Upholstery Fabrics,(86) 0512 52834526,(86) 0512 52306526,"Changshu Jinzhi Warp&Weft; Knitting Co.,Ltd","ROOM 101,NO.1 BUILDING,NO.89 JIANGXIA ROAD,MEILI TOWN,CHANGSHU CITY,JIANGSU PROVINCE"
1172988280@qq.com,Booth no.:  3N29,http://huiteng.en.alibaba.com/,Other home textile products,(86) 0572 6015790,(86) 0572 6015790,"Changxing Huiteng Textile Co.,Ltd.","XIQUEDOU INDUSTRIAL PARK, JIAPU TOWN , "
mineeda@rose.odn.ne.jp,Booth no.:  4.1C27,http://www.facebook.com/ateliermineeda/,"Other home textile products, Design Artwork, Testing & Certification",(81) 75 321 5047,(81) 75 321 5047,Atelier Mineeda Co Ltd,"6F, 5-3 Shijohata-cho, Saiin Ukyo-ku, Kyoto 615-0066, Japan"
eric.wang@casavogo.com,Booth no.:  4.1A16,http://www.casavogo.com,,(86) 21 6113 6236,(86) 21 6113 9500,Casavogo Asia Ltd,"Unit 2301 Tongda Plaza, 1-600 Tianshan Rd, Shanghai 200051, China"
2095202778@qq.com,Booth no.:  4.1C95,http://www.transfu-material.com,"Other home textile products, Machinery for Home Textile (Digital printing, sewing machine)",  86 512 8215 0103,  86 512 8215 0133/ 86 159 6213 9016,All-Nice Coated Production (Suzhou) Co Ltd,"No 39 Litai Rd, Taiping Town, Suzhou, Jiangsu 215137, China"
amitijc888@gmail.com,Booth no.:  4.1B75,http://amiti.com.tw,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products)",(886) 2 2812 3383,(886) 2 2812 3338,Amiti JC Textile Co Ltd,"6F, 79-5, Sec 4, Chongqing N Rd, Taipei 11165, Taiwan, China"
sales@cetec.com.hk,Booth no.:  5.1F20,http://www.cetec.com.hk,,,(86)  10 5900 0908,"Beijing Branch, Zimmer & Rohde Trading (Shanghai) Co Ltd","Rm 0938, 9/F, Bldg D, Chaowai SOHO, 6 Chaowai St, Chaoyang District, Beijing 100020, China"
1441309951qq.com,Booth no.:  3H56,,Sun Protection Systems & Accessories,(86) 010 84320488,(86) 010 84320488,Beijing Hongjie Decoration Materials Company ,"No.28, guangying road, chaoyang district, Beijing "
3191671522@qq.com,Booth no.:  3N40,,Upholstery Fabrics,(86) 0573 87068766,(86) 0573 87068766,Beijing Splendid Products Love Home Textile Limited Company," No.4,building 13,home textiles and fabrics street,"
,Booth no.:  4.1B49,,,,,BLW Manufacture International Co Ltd,"Unit 04, 7/F, Bright Way Tower, No 33 Mong Kok Rd, Kowloon, Hong Kong, China"
info@boyteks.com,Booth no.:  4.1F54,http://www.boyteks.com,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Textile for Household Products, Carpet & Rugs",(90) 352 322 0589,(90) 352 322 0588,Boyteks Tekstil San Ve Tic A S,"OSB 8 Cad, Noi 60 Melikgazi, Kayseri 38070, Turkey"
pravin@bslltd.com,Booth no.:  4.1C80,http://www.bslltd.com,"Bedding & Towelling, Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products)",,  91 22 2847 1250,BSL Ltd,"Solaris Bldg 2, 410/412, Saki Vihar Rd, Opp L&T; Gate No 6, Powai, Andheri East, Mumbai 400072, India"
bobwangchangshu@aliyun.com,Booth no.:  3Q01,http://www.cskelei.com,"Upholstery Fabrics, Wall covering products",(86) 0512 52833101,(86) 0512 52836898,"Changshu Kelei Warp Weft Knitting Co.,Ltd",No.158 Southeast Road Southeast Development Zone 
bryce@cslongwell.com,Booth no.:  4.1C01,http://cslongwell.en.alibaba.com,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread)",(86) 0512 52195673,(86) 0512 52195672,"Changshu Longwell International Trade Co.,Ltd",ROOM 505 BUILDING B INTERNATIONAL TRADE CENTER NO.12 HUANGHE ROAD 
chentextile@163.com,Booth no.:  3Q27,,Upholstery Fabrics,(86) 0512 52839086,(86) 0512 52830068,"Changshu Shanhe Textile Co.,Ltd.",5888 Changkun RD.ChangshuJiangsuChina
cxjinfajasonjin@163.com,Booth no.:  3N39,http://WWW.JINFATEXTILE.COM,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Terry & toweling products & bath mats",(86) 0572 6507698,(86) 0572 6505828,"Changxing Jinfa Textile Co.,Ltd. ","NO.11 XINGUANG ROAD, JIAPU INDUSTRIAL PARK, "
1206638046@qq.com,Booth no.:  3A93,,"Materials of bedding (fabrics, yarns etc), Upholstery Fabrics",(86) 0572 6114188,(86) 0572 6114188,"Changxing Rongwang Textile Co., Ltd","XUWANG VILLAGE, SHUIKOU TOWN,CHANGXING COUNTY, ZHEJIANG, CHINA"
info@atretis.com,Booth no.:  4.1C59,http://www.atretis.com,,(212) 522 351 621,(212) 522 351 665,Atretis,"Rue Barchalona QI, Ain Sebaa km 10 600, Casablanca 20590, Morocco"
,Booth no.:  4.1A25,,,,,Aussie Origin Pty Ltd,"Unit 18, 21-35 Ricketts Rd, Mt Waverley, VIC 3149, Australia"
avivaenterprises_pk@yahoo.com,Booth no.:  3L14,,"Textile for Household Products, Carpet & Rugs",,  92 33 1714 9558,Aviva Enterprises,"G-10 Rafiq Center , Abdullah Haroon Rd Saddar Karachi, Karachi, Pakistan"
l.larsen@cellsolution.eu,Booth no.:  4.1B15,http://www.cellsolution.eu,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Materials of bedding (fabrics, yarns etc), Terry & toweling products & bath mats, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Sun Protection Systems & Accessories, Textile for smart home, Textile for Household Products, Carpet & Rugs",,  45 4077 7936,Cell Solution ApS,"Sotoften 17, Silkeborg 8600, Denmark"
cxl-helen@cessotdecoration.com,Booth no.:  3G64,,"Sun Protection Systems & Accessories, Sun protection accessories (curtain track, rod & motor)",(86) 0574 88316659,(86) 0574 88316659,"Cessot (Shanghai) International Corp., Ltd.","Room No.103-03, 1st floor, 1# building, No.38 of Debao Rd.,"
sales@cetec.com.hk,Booth no.:  5.1F20,http://www.cetec.com.hk,"Bedding & Towelling, Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Sun Protection Systems & Accessories, Sun protection systems (sunshade, roman, venetian blind), Sun protection accessories (curtain track, rod & motor), Textile for smart home, Textile for Household Products, Wall covering products, Carpet & Rugs, Accessories, Home textile accessories (tassels, trimmings, zipper etc), Other home textile products, Textiles for hospitality industry",(852)  2810 1954,(852)  2522 0832,CETEC Ltd,"18/F Printing Hse, 6 Duddell St, Central, Hong Kong, China"
carolynli@anli.cn,Booth no.:  6.2J17,http://www.chinapuleather.com,"Upholstery Fabrics, Upholstery leather & Soft decoration",(86) 551 68991640,(86) 551 63858327,"Anhui Anli Material Technology Co.,Ltd.","Cross of Fanhua Rd and Chuangxin Rd, Taohua Ind. "
any@any.com.tr,Booth no.:  4.1G53,http://www.any.com.tr,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Textiles for hospitality industry",(90) 224 261 0905,(90) 224 261 0906,Any Tekstil San Tic Ve Paz A S,"Dosab Girisi, M Karaer Cad No 40, Bursa 16245, Turkey"
ekasit.l@betaweaving.com,Booth no.:  4.1A81,http://www.betaweaving.com,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Other home textile products, Textiles for hospitality industry",(66) 2 385 5957,(66) 2 385 5090,Beta Weaving Factory Co Ltd,"53/3-7 Moo 5 Theparak Rd, Bangplee Yai, Bangplee, Samutprakarn 10540, Thailand"
demet@bezmez.net; bezmez@bezmez.net,Booth no.:  4.1G60,http://www.bezmez.net,,(90) 224 411 0809,(90) 224 411 0800,Bezmez Ev Tekstil Ltd Sti,"Nosab, Seftali Cad No 20, Nilufer, Bursa 16140, Turkey"
154526468@qq.com,Booth no.:  3G40,http://www.cndfdt.com,"Textile for Household Products, Carpet & Rugs",(86) 0543 3415856,(86) 0543 3415820,Binzhou Orient Carpet Co,"Dongfang carpet, No. twenty-eight, No. 497, Bohai Road, Binzhou, Shandong"
574678253@qq.com,Booth no.:  6.2M53,,Upholstery Fabrics,(86) 0573 87550306,(86) 0573 87550306,Buxin,Tongxiang hemp town development avenue 288 hemp home textile science and Technology Park A area 19 b
nikey@caiwing.cn,Booth no.:  6.2M01,,"Upholstery Fabrics, Upholstery leather & Soft decoration",(86) 0757 29290704,(86) 0757 29839495,"Caiwing Leather Co.,Ltd","No.104,A6 Area.325 Road,Longjiang Town,Shunde District,Foshan City,Guangdong, China"
cepc.nd@gmail.com,Booth no.:  4.1H25,http://www.indiancarpets.com,,(91) 22 26153465,(91) 22 26153466,Carpet Export Promotion Council (CEPC),"Niryat Bhawan, 3RD Floor, Rao Tula Ram Marg, New Delhi  11057, India"
wendy@wlxtex.com,Booth no.:  3C30,,"Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Textile for Household Products",(86) 0512 52818175,(86) 0512 52181890,"Changshu Wanlixing Import&Export; Co., Ltd","Room1002, Building B, World Trading Center, No.12, "
sales@phztdrygoods.cn,Booth no.:  4.1A01,http://www.cszttex.com,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Carpet & Rugs",(86) 512 52593196,(86) 512 52506122,"Changshu Zhengtai Textile Co., Ltd.","9-1, JIULONG ROAD, SOUTH-EAST DEVELOPMENT ZONE, CHANGSHU, 215500 CHINA"
tom@zjchaofan.com,Booth no.:  3K57,http://www.zjchaofan.com,Upholstery Fabrics,(86) 0572 6018896,(86) 0572 6176879,"Changxing Chaofan Textile Co ,Ltd","LIWANGDIAN NATURAL VILLAGE, XIJIANG VILLAGE,JIAPU TOWN,"
sophia@tianxiangtextile.net,Booth no.:  3Q18,,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Materials of bedding (fabrics, yarns etc), Terry & toweling products & bath mats",(86) 0572 6556701,(86) 0572 6556098,"Changxing Tian Xiang Textile Co., Ltd","NO. 759 ROAD, ECONOMIC DEVELOPMENT ZONE, CHANGXING COUNTY, ZHEJIANG PROVINCE, CHINA"
yongdafz@163.com,Booth no.:  4.1C03,,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Materials of bedding (fabrics, yarns etc)",(86) 0572 6507018,(86) 0572 6015837,"Changxing Yongda Textile Co.,Ltd","JIAPU,CHANGXING,ZHEJIANG,P.R."
taha.karabacak@aydintekstil.com,Booth no.:  4.1F42,http://www.aydintekstil.com,"Upholstery Fabrics, Upholstery leather & Soft decoration, Textile for Household Products, Carpet & Rugs, Other home textile products, Machinery for Home Textile (Digital printing, sewing machine)",(90) 212 549 2059,(90) 212 549 2060,Aydin Tekstil Tic Ve Paz A S,"Ikitelli O S B Turgut Ozal Cad, No 38-3 Basaksehir, Istanbul 34308, Turkey"
sales@chinatrimming.com,Booth no.:  5.1K28,http://www.chinatrimming.com,Upholstery Fabrics,(86) 0411 85640069,(86) 0411 85618480,u5927u8fdeu4e1cu7acbu5de5u827au7ebau7ec7u54c1u6709u9650u516cu53f8,"No.200,3rd Section Nan Gongji Street Wafangdian City, Dalian, Liaoning Province , China"
derekzhang@xin-xin.com,Booth no.:  4.1B02,http://www.xin-xin.com,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc)",(86) 0512 52332128,(86) 0512 52333087,"Changshu  Xinxin  Warp  And  Knitting  Co .,Ltd","No.8 FangQiao Road  Xie Qiao  ,Changshu  JIangsu"
info@aistex.com,Booth no.:  6.2P70,http://www.aistex.com,"Materials of bedding (fabrics, yarns etc), Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Carpet & Rugs",(86) 0512 52016899,(86) 0512 52016877,"Changshu Ais Textile Technology Co.,Ltd.", NO.9 Chixiang Road Mocheng Sangxing Industrial Park Changshu City Jiangsu Provice
,Booth no.:  4.1A32,,"Other home textile products, Design Artwork, Testing & Certification",,  49 69 4800 7840,Art & Concept,"Pfingstweidstrasse 5, Frankfurt am Main 60316, Germany"
13820539321@126.com,Booth no.:  6.2K15,,"Upholstery Fabrics, Upholstery leather & Soft decoration",(86) 022 28571166,(86)  18622657813,"Arz Co.,Ltd.","NO.3, 1st Road,Shuanggang Industrial Park,Jinnan Economic Development Area,Tianjin China     30035"
wang.siqi-afs@asahi-kasei.cn,Booth no.:  4.1F29,,,  86 21 6219 0775,  86 139 1835 2471,Asahi Kasei Advance (Shanghai) Co Ltd,"8/F, One ICC , No 999 Huaihai Zhong Rd, Shanghai 200031, China"
amits@birlahomedecor.com,Booth no.:  4.1C66,http://www.birlahomedecor.com,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products)",(91) 22 4219 8831,(91) 22 4219 8800,"Birla Home Decor, Unit of Sutlej Textiles and Industries Ltd","E-501, Lotus Corporate Park, 185A, Graham Firth Steel Compound, Off W E Highway, Near Jay Coach Signal, Goregaon (E), Maharashtra, Mumbai 400063, India"
sales@artcasa.com.cn,Booth no.:  4.1A53,http://www.casafinaint.com,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Wall covering products, Textile for Household Products, Wall covering products, Accessories, Home textile accessories (tassels, trimmings, zipper etc)",  971 4 338 8303,  971 506 409 850,Casafina Home Furnishing LLC,"No 4, 1st Floor, Smark Bldg, Sheikh Zayed Rd, Dubai 73708, United Arab Emirates"
1099284706@qq.com,Booth no.:  4.1C26,,,(86) 21 6975 0139,(86) 21 6975 1609,Casaido (Shanghai) Co Ltd,"No.5369 Middle Jiasong Rd, Shanghai 201799, China"
marry@cxdqtex.com,Booth no.:  4.1B103,http://dingqiang.en.alibaba.com/,,(86) 572 670 3608,(86) 572 619 6278,Changxing Dingqiang Textile Co Ltd,"RM 2406-2408, Central Bldg, Lihumingju Zhicheng Town, Changxing, Zhejiang 313100, China"
eva@cxgfabric.com,Booth no.:  3Q06,,Upholstery Fabrics,(86) 0572 6112699,(86) 0572 6112699,"Changxing Guangfa Textile Co.,Ltd.","LONGSHAN INDUSTRIAL ZONE, SHUIKOU TOWN, CHANGXING CITY, ZHEJIANG PROVINCE, CHINA"
czxuming@163.com,Booth no.:  3K62,http://www.gangheblinds.com,"Sun Protection Systems & Accessories, Sun protection systems (sunshade, roman, venetian blind)",(86) 0519 88990392,(86) 0519 88990391,"Changzhou Fanghe Plastics Co.,Ltd",No.5-2 changhe road sanhekou zhenglu tianning district changzhou jiangsu china
goldenspring@vip.163.com,Booth no.:  3L08,http://www.goldenspring.net,Other home textile products,(86) 0519 86696628,(86) 0519 86696618,"Changzhou Golden Spring Textile Co.,Ltd.","No.18,Ganjiang Road,Chunjiang town,The new district of"
wjh@hongjuntex.com,Booth no.:  6.2F85,http://www.hongjuntex.com,Upholstery Fabrics,(86) 0519 83826390,(86) 0519 83826380,"Changzhou Hongjuntex Co.,Ltd",No.9 old state road 312 Henglin Town Wujin 
hgjczw@163.com,Booth no.:  4.1C61,,,(86) 631 596 9944,(86) 631 518 9941,u5a01u6d77u85a9u5e1bu8cbfu6613u6709u9650u516cu53f8 (u97d3u570bu4eacu57ceu7e54u7269),China
104739298@qq.com,Booth no.:  3Q41,http://www.hometexnet.com,Upholstery Fabrics,(86)  89162609,(86)  13575774914,u4e2du56fdu5bb6u7ebau7f51,u676du5ddeu4f59u676du4e34u5e73u8fceu5bbeu8def555u53f78-202
shanghai@zhida.com,Booth no.:  5.1C86,http://www.zhida.com,"Upholstery Fabrics, Wall covering products",(86) 021 34696791,(86) 021 64188080,u5e7fu4e1cu5fd7u8fbeu7ebau7ec7u88c5u9970u6709u9650u516cu53f8,"HUAXI SECTION, GUANGZHAN ROAD, LONGJIANG TOWN,SHUNDE CITY, GUANGDONG, CHINA"
jeason@dafamesh.net,Booth no.:  3Q08,http://www.3dmesh.com.cn,Upholstery Fabrics,(86) 0512 52662103,(86) 0512 52263720,"Changshu Dafa Warp Knitting Co.,Ltd","18 longteng road,tonggang industrial zone ,meili town ,changshu,jiangsu"
811639635@qq.com,Booth no.:  3Q05,http://csfuhong.1688.com,Upholstery Fabrics,(86) 0512 52663331,(86) 0512 52663338,"Changshu Fuhong Textile Co.,Ltd","Yugang Industial Park,Zhaoshi,Meili Town,Changshu,Jiangsu Province,China"
sales@asanteks.com.tr,Booth no.:  4.1G54,http://www.asanteks.com.tr,"Upholstery Fabrics, Upholstery leather & Soft decoration",(90) 212 437 3030,(90) 212 437 3030,Asanteks Tekstil San Ve Tic A S,"Yildirim Mh Tuna Sk No 47, Bayrampasa, Istanbul 34045, Turkey"
tiar@ateja.co.id; yonathan@ateja.co.id,Booth no.:  4.1F51,http://www.ateja.co.id,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Sun Protection Systems & Accessories, Sun protection systems (sunshade, roman, venetian blind), Sun protection accessories (curtain track, rod & motor)",(62) 22 686 6320,(62) 22 686 6322,Ateja Tritunggal PT,"Jl. Raya Batujajar KM 2, 8 Padalarang Bandung, West Java 40561, Indonesia"
173159877@qq.com,Booth no.:  6.1F42,,Upholstery Fabrics,(86) 0571 86138060,(86) 0571 89280090," Casaricca  Decoration Design Co., Ltd  ","631 Linping Road,Yuhang Economic Development Zone ,Hangzhouzhejiang, "
Emily@cxhyfz.com,Booth no.:  3A91,,"Materials of bedding (fabrics, yarns etc), Upholstery Fabrics",(86) 0572 6114718,(86) 0572 6114285,"Changxing Hengyuan Textile Co.,Ltd","Zhejiang Province,changxing county,shuikou village,xu wang village no 68."
544068650@qq.com,Booth no.:  6.2P71,http://www.hjtex.cn,Upholstery Fabrics,(86) 0519 85850978,(86)  18112326735,Changzhou Huijin," changzhou huijin textile co.,ltd"
